,Unnamed: 0,iata_code,id,ident,type,name,latitude_r,longitude_r,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,local_code,home_link,wikipedia_link,keywords,Name,TotalSeats,Country.Name,Airport1Latitude,Airport1Longitude,name_calc,Country_Name
82,82,ANU,6359.0,TAPA,medium_airport,V C Bird International Airport,17.1367,-61.792702,62.0,,AG,AG-03,Osbourn,yes,TAPA,,,https://en.wikipedia.org/wiki/VC_Bird_International_Airport,St. John's,V C Bird Intl,630334.509,Antigua and Barbuda,17.13750076,-61.79000092,V C Bird International Airport (ANU),Antigua and Barbuda
83,83,AOC,2184.0,EDAC,medium_airport,Altenburg-Nobitz Airport,50.981945,12.506389,640.0,EU,DE,DE-TH,Altenburg,no,EDAC,,http://www.leipzig-altenburg-airport.de/,https://en.wikipedia.org/wiki/Altenburg-Nobitz_Airport,Altenburg Nobitz,Altenburg Nobitz Airport,7370.433,Germany,50.98329926,12.44999981,Altenburg-Nobitz Airport (AOC),Germany
84,84,AOE,4547.0,LTBY,medium_airport,Anadolu Airport,39.809898,30.5194,2588.0,AS,TR,TR-26,Eskişehir,yes,LTBY,,,https://en.wikipedia.org/wiki/Anadolu_Airport,,Anadolu University Airport,17137.015,Turkey,39.0,30.5,Anadolu Airport (AOE),Turkey
85,85,AOI,4367.0,LIPY,medium_airport,Marche Airport,43.616299,13.3623,49.0,EU,IT,IT-57,Ancona,yes,LIPY,AN01,http://www.aeroportomarche.com/index.php?lang=english,https://en.wikipedia.org/wiki/Marche_Airport,Ancona Falconara Airport Falconara Raffaello Sanzio Airport,Falconara,233535.701,Italy,43.61750031,13.36419964,Marche Airport (AOI),Italy
86,86,AOJ,5605.0,RJSA,medium_airport,Aomori Airport,40.73469924926758,140.6909942626953,664.0,AS,JP,JP-02,Aomori,yes,RJSA,,,https://en.wikipedia.org/wiki/Aomori_Airport,,Aomori,47160.372,Japan,40.73939896,140.7014008,Aomori Airport (AOJ),Japan
87,87,AOK,4265.0,LGKP,medium_airport,Karpathos Airport,35.4213981628418,27.14599990844727,66.0,EU,GR,GR-L,Karpathos Island,yes,LGKP,,,https://en.wikipedia.org/wiki/Karpathos_Island_National_Airport,,Karpathos,61593.595,Greece,35.42139816,27.14609909,Karpathos Airport (AOK),Greece
88,88,AOT,4349.0,LIMW,medium_airport,Aosta Airport,45.738499,7.36872,1791.0,EU,IT,IT-23,Aosta,no,LIMW,AO01,http://www.avda-aosta.it/,https://en.wikipedia.org/wiki/Aosta_Airport,,Corrado Gex Airport,805.938,Italy,45.0,7.0,Aosta Airport (AOT),Italy
89,89,APF,19293.0,KAPF,medium_airport,Naples Municipal Airport,26.1525993347,-81.7752990723,8.0,,US,US-FL,Naples,no,KAPF,APF,,https://en.wikipedia.org/wiki/Naples_Municipal_Airport,,Naples Municipal,6932.8,United States,26.15279961,-81.77529907,Naples Municipal Airport (APF),United States
90,90,APL,2980.0,FQNP,medium_airport,Nampula Airport,-15.10560035705566,39.28179931640625,1444.0,AF,MZ,MZ-N,Nampula,yes,FQNP,,,https://en.wikipedia.org/wiki/Nampula_Airport,,Nampula,22466.605,Mozambique,-15.10169983,39.28720093,Nampula Airport (APL),Mozambique
91,91,APN,3382.0,KAPN,medium_airport,Alpena County Regional Airport,45.0780983,-83.56030273,690.0,,US,US-MI,Alpena,yes,KAPN,APN,,https://en.wikipedia.org/wiki/Alpena_County_Regional_Airport,,Alpena County Regional,736.61,United States,45.08169937,-83.55580139,Alpena County Regional Airport (APN),United States
